"","ordinal","species","in6","in5","in4","in3","in2","in1","total","year","site","period","sjy","dd","dd_sum","cdd_sum","cdd_sumfall","DI","per","elev","siteyear","Tmean","cdd_seas","Cdd_siteave","Cdd_july_siteave","species.lab","spsiteyear","doy_adult","gdd_adult"
"2566",204,"Aeropedellus clavatus",3,0,0,0,0,0,3,"2015","B1","resurvey","B1_204_2015",8.29,8.29,262.074133847784,262.074133847784,6,2,"2591","B12015",10.9946086956522,524.839971450119,384.546002573052,109.732617822016,"Aeropedellus clavatus (SW)","B12015Aeropedellus clavatus",185,171.74696103681
"2567",212,"Aeropedellus clavatus",4,0,0,0,0,0,4,"2015","B1","resurvey","B1_212_2015",7.7985,7.7985,320.026818169971,320.026818169971,6,2,"2591","B12015",10.9946086956522,524.839971450119,384.546002573052,109.732617822016,"Aeropedellus clavatus (SW)","B12015Aeropedellus clavatus",185,171.74696103681
"2569",183,"Chloealtis abdominalis",0,0,0,0,4,0,4,"1959","B1","initial","B1_183_1959",5.60992828567723,5.60992828567723,174.991684238974,174.991684238974,2,1,"2591","B11959",9.34366847826087,467.129090452093,322.724605547163,112.740245906919,"Chloealtis abdominalis (SW)","B11959Chloealtis abdominalis",223,384.991684238974
"2570",195,"Chloealtis abdominalis",0,0,2,2,0,0,4,"1959","B1","initial","B1_195_1959",5.91310803697623,5.91310803697623,234.041113495283,234.041113495283,3.5,1,"2591","B11959",9.34366847826087,467.129090452093,322.724605547163,112.740245906919,"Chloealtis abdominalis (SW)","B11959Chloealtis abdominalis",223,384.991684238974
"2571",202,"Chloealtis abdominalis",0,3,1,0,0,0,4,"1959","B1","initial","B1_202_1959",5.38902349219361,5.38902349219361,262.008609811262,262.008609811262,4.75,1,"2591","B11959",9.34366847826087,467.129090452093,322.724605547163,112.740245906919,"Chloealtis abdominalis (SW)","B11959Chloealtis abdominalis",223,384.991684238974
"2572",209,"Chloealtis abdominalis",0,6,2,0,0,0,8,"1959","B1","initial","B1_209_1959",9.465,9.465,313.195576623608,313.195576623608,4.75,1,"2591","B11959",9.34366847826087,467.129090452093,322.724605547163,112.740245906919,"Chloealtis abdominalis (SW)","B11959Chloealtis abdominalis",223,384.991684238974
"2573",216,"Chloealtis abdominalis",4,0,4,0,0,0,8,"1959","B1","initial","B1_216_1959",4.09347083612944,4.09347083612944,348.540173630494,348.540173630494,5,1,"2591","B11959",9.34366847826087,467.129090452093,322.724605547163,112.740245906919,"Chloealtis abdominalis (SW)","B11959Chloealtis abdominalis",223,384.991684238974
"2574",223,"Chloealtis abdominalis",2,2,0,0,0,0,4,"1959","B1","initial","B1_223_1959",9.165,9.165,383.211590531066,383.211590531066,5.5,1,"2591","B11959",9.34366847826087,467.129090452093,322.724605547163,112.740245906919,"Chloealtis abdominalis (SW)","B11959Chloealtis abdominalis",223,384.991684238974
"2575",229,"Chloealtis abdominalis",12,2,0,0,0,0,14,"1959","B1","initial","B1_229_1959",9.165,9.165,406.691595638335,406.691595638335,5.85714285714286,1,"2591","B11959",9.34366847826087,467.129090452093,322.724605547163,112.740245906919,"Chloealtis abdominalis (SW)","B11959Chloealtis abdominalis",223,384.991684238974
"2577",250,"Chloealtis abdominalis",3,0,0,0,0,0,3,"1959","B1","initial","B1_250_1959",6.59401942056325,0,467.129090452093,501.25587356909,6,1,"2591","B11959",9.34366847826087,467.129090452093,322.724605547163,112.740245906919,"Chloealtis abdominalis (SW)","B11959Chloealtis abdominalis",223,384.991684238974
"2578",257,"Chloealtis abdominalis",4,0,0,0,0,0,4,"1959","B1","initial","B1_257_1959",5.12567222061338,0,467.129090452093,534.36888883083,6,1,"2591","B11959",9.34366847826087,467.129090452093,322.724605547163,112.740245906919,"Chloealtis abdominalis (SW)","B11959Chloealtis abdominalis",223,384.991684238974
"2579",189,"Chloealtis abdominalis",0,0,0,6,0,0,6,"1960","B1","initial","B1_189_1960",0.928451740923102,0.928451740923102,170.049634577483,170.049634577483,3,1,"2591","B11960",9.60464673913043,468.923306666612,332.042919673951,118.22908139922,"Chloealtis abdominalis (SW)","B11960Chloealtis abdominalis",NA,NA
"2589",194,"Chloealtis abdominalis",1,2,1,1,0,0,5,"2006","B1","resurvey","B1_194_2006",6.78740846417861,6.78740846417861,304.885880354446,304.885880354446,4.6,2,"2591","B12006",11.1006793478261,617.536246554048,453.195291548438,156.758858619003,"Chloealtis abdominalis (SW)","B12006Chloealtis abdominalis",NA,NA
"2594",249,"Chloealtis abdominalis",5,0,0,0,0,0,5,"2006","B1","resurvey","B1_249_2006",4.3554164264162,0,617.536246554048,634.049142459922,6,2,"2591","B12006",11.1006793478261,617.536246554048,453.195291548438,156.758858619003,"Chloealtis abdominalis (SW)","B12006Chloealtis abdominalis",NA,NA
"2595",269,"Chloealtis abdominalis",4,0,0,0,0,0,4,"2006","B1","resurvey","B1_269_2006",2.08176953957241,0,617.536246554048,665.824948671458,6,2,"2591","B12006",11.1006793478261,617.536246554048,453.195291548438,156.758858619003,"Chloealtis abdominalis (SW)","B12006Chloealtis abdominalis",NA,NA
"2605",218,"Chloealtis abdominalis",3,0,0,0,0,0,3,"2007","B1","resurvey","B1_218_2007",6.61,6.61,480.948070554094,480.948070554094,6,2,"2591","B12007",11.6922010869565,632.522071579283,482.511330481894,171.845339464654,"Chloealtis abdominalis (SW)","B12007Chloealtis abdominalis",NA,NA
"2608",176,"Chloealtis abdominalis",0,0,2,2,1,0,5,"2008","B1","resurvey","B1_176_2008",5.50295592490803,5.50295592490803,128.834856608791,128.834856608791,3.2,2,"2591","B12008",10.0301630434783,596.627471636255,443.326397083935,184.048351471126,"Chloealtis abdominalis (SW)","B12008Chloealtis abdominalis",211,378.834856608791
"2610",191,"Chloealtis abdominalis",0,1,2,0,1,0,4,"2008","B1","resurvey","B1_191_2008",5.75057389952207,5.75057389952207,210.863068367796,210.863068367796,3.75,2,"2591","B12008",10.0301630434783,596.627471636255,443.326397083935,184.048351471126,"Chloealtis abdominalis (SW)","B12008Chloealtis abdominalis",211,378.834856608791
"2613",219,"Chloealtis abdominalis",4,0,0,0,0,0,4,"2008","B1","resurvey","B1_219_2008",6.78740846417861,6.78740846417861,458.727397813922,458.727397813922,6,2,"2591","B12008",10.0301630434783,596.627471636255,443.326397083935,184.048351471126,"Chloealtis abdominalis (SW)","B12008Chloealtis abdominalis",211,378.834856608791
"2615",232,"Chloealtis abdominalis",4,0,0,0,0,0,4,"2008","B1","resurvey","B1_232_2008",6.15646346096744,6.15646346096744,515.73681188283,515.73681188283,6,2,"2591","B12008",10.0301630434783,596.627471636255,443.326397083935,184.048351471126,"Chloealtis abdominalis (SW)","B12008Chloealtis abdominalis",211,378.834856608791
"2616",242,"Chloealtis abdominalis",3,0,0,0,0,0,3,"2008","B1","resurvey","B1_242_2008",7.37089004764745,7.37089004764745,586.677471636255,586.677471636255,6,2,"2591","B12008",10.0301630434783,596.627471636255,443.326397083935,184.048351471126,"Chloealtis abdominalis (SW)","B12008Chloealtis abdominalis",211,378.834856608791
"2617",255,"Chloealtis abdominalis",5,0,0,0,0,0,5,"2008","B1","resurvey","B1_255_2008",0,0,596.627471636255,620.668703773898,6,2,"2591","B12008",10.0301630434783,596.627471636255,443.326397083935,184.048351471126,"Chloealtis abdominalis (SW)","B12008Chloealtis abdominalis",211,378.834856608791
"2620",196,"Chloealtis abdominalis",0,0,3,2,0,0,5,"2009","B1","resurvey","B1_196_2009",5.98296334652944,5.98296334652944,225.891185106888,225.891185106888,3.6,2,"2591","B12009",10.2211130069103,450.717095208585,333.80029008503,119.514388106097,"Chloealtis abdominalis (SW)","B12009Chloealtis abdominalis",226,375.891185106888
"2621",204,"Chloealtis abdominalis",0,0,3,0,0,0,3,"2009","B1","resurvey","B1_204_2009",5.91455744513099,5.91455744513099,270.008354843333,270.008354843333,4,2,"2591","B12009",10.2211130069103,450.717095208585,333.80029008503,119.514388106097,"Chloealtis abdominalis (SW)","B12009Chloealtis abdominalis",226,375.891185106888
"2622",213,"Chloealtis abdominalis",0,2,1,0,0,0,3,"2009","B1","resurvey","B1_213_2009",3.86266328837537,3.86266328837537,299.841316743238,299.841316743238,4.66666666666667,2,"2591","B12009",10.2211130069103,450.717095208585,333.80029008503,119.514388106097,"Chloealtis abdominalis (SW)","B12009Chloealtis abdominalis",226,375.891185106888
"2625",238,"Chloealtis abdominalis",3,0,0,0,0,0,3,"2009","B1","resurvey","B1_238_2009",3.6979739975953,3.6979739975953,429.778933202746,429.778933202746,6,2,"2591","B12009",10.2211130069103,450.717095208585,333.80029008503,119.514388106097,"Chloealtis abdominalis (SW)","B12009Chloealtis abdominalis",226,375.891185106888
"2626",258,"Chloealtis abdominalis",4,0,0,0,0,0,4,"2009","B1","resurvey","B1_258_2009",3.38462878893698,0,450.717095208585,510.030536980221,6,2,"2591","B12009",10.2211130069103,450.717095208585,333.80029008503,119.514388106097,"Chloealtis abdominalis (SW)","B12009Chloealtis abdominalis",226,375.891185106888
"2627",155,"Chloealtis abdominalis",0,0,0,0,3,8,11,"2010","B1","resurvey","B1_155_2010",4.37239790764328,4.37239790764328,33.2307188676454,33.2307188676454,1.27272727272727,2,"2591","B12010",10.5730770531712,491.165195253965,368.393096636885,143.691857502535,"Chloealtis abdominalis (SW)","B12010Chloealtis abdominalis",220,363.230718867645
"2628",169,"Chloealtis abdominalis",0,0,0,1,4,4,9,"2010","B1","resurvey","B1_169_2010",4.10009851381827,4.10009851381827,75.76113262867,75.76113262867,1.66666666666667,2,"2591","B12010",10.5730770531712,491.165195253965,368.393096636885,143.691857502535,"Chloealtis abdominalis (SW)","B12010Chloealtis abdominalis",220,363.230718867645
"2629",177,"Chloealtis abdominalis",0,0,0,6,2,0,8,"2010","B1","resurvey","B1_177_2010",7.026154785,7.026154785,107.903339425894,107.903339425894,2.75,2,"2591","B12010",10.5730770531712,491.165195253965,368.393096636885,143.691857502535,"Chloealtis abdominalis (SW)","B12010Chloealtis abdominalis",220,363.230718867645
"2630",182,"Chloealtis abdominalis",0,0,4,4,0,0,8,"2010","B1","resurvey","B1_182_2010",7.16332467,7.16332467,134.668388180846,134.668388180846,3.5,2,"2591","B12010",10.5730770531712,491.165195253965,368.393096636885,143.691857502535,"Chloealtis abdominalis (SW)","B12010Chloealtis abdominalis",220,363.230718867645
"2631",191,"Chloealtis abdominalis",0,0,3,1,0,0,4,"2010","B1","resurvey","B1_191_2010",3.42225839230816,3.42225839230816,164.821097157889,164.821097157889,3.75,2,"2591","B12010",10.5730770531712,491.165195253965,368.393096636885,143.691857502535,"Chloealtis abdominalis (SW)","B12010Chloealtis abdominalis",220,363.230718867645
"2632",196,"Chloealtis abdominalis",0,0,5,0,0,0,5,"2010","B1","resurvey","B1_196_2010",7.74551985,7.74551985,200.382330267611,200.382330267611,4,2,"2591","B12010",10.5730770531712,491.165195253965,368.393096636885,143.691857502535,"Chloealtis abdominalis (SW)","B12010Chloealtis abdominalis",220,363.230718867645
"2633",202,"Chloealtis abdominalis",0,1,3,1,1,0,6,"2010","B1","resurvey","B1_202_2010",6.3860889,6.3860889,247.593288602611,247.593288602611,3.66666666666667,2,"2591","B12010",10.5730770531712,491.165195253965,368.393096636885,143.691857502535,"Chloealtis abdominalis (SW)","B12010Chloealtis abdominalis",220,363.230718867645
"2634",209,"Chloealtis abdominalis",3,5,2,2,0,0,12,"2010","B1","resurvey","B1_209_2010",8.59989714,8.59989714,299.208583277611,299.208583277611,4.75,2,"2591","B12010",10.5730770531712,491.165195253965,368.393096636885,143.691857502535,"Chloealtis abdominalis (SW)","B12010Chloealtis abdominalis",220,363.230718867645
"2635",217,"Chloealtis abdominalis",6,5,1,0,0,0,12,"2010","B1","resurvey","B1_217_2010",4.23901668149847,4.23901668149847,348.45842613411,348.45842613411,5.41666666666667,2,"2591","B12010",10.5730770531712,491.165195253965,368.393096636885,143.691857502535,"Chloealtis abdominalis (SW)","B12010Chloealtis abdominalis",220,363.230718867645
"2636",226,"Chloealtis abdominalis",8,3,0,0,0,0,11,"2010","B1","resurvey","B1_226_2010",4.23754533280367,4.23754533280367,403.01967970597,403.01967970597,5.72727272727273,2,"2591","B12010",10.5730770531712,491.165195253965,368.393096636885,143.691857502535,"Chloealtis abdominalis (SW)","B12010Chloealtis abdominalis",220,363.230718867645
"2637",241,"Chloealtis abdominalis",5,0,0,0,0,0,5,"2010","B1","resurvey","B1_241_2010",6.893391295,6.893391295,483.785123000803,483.785123000803,6,2,"2591","B12010",10.5730770531712,491.165195253965,368.393096636885,143.691857502535,"Chloealtis abdominalis (SW)","B12010Chloealtis abdominalis",220,363.230718867645
"2638",155,"Chloealtis abdominalis",0,0,0,0,0,4,4,"2011","B1","resurvey","B1_155_2011",2.43996269113572,2.43996269113572,43.4838493939257,43.4838493939257,1,2,"2591","B12011",10.970625,545.380601427286,399.803176665022,133.44291658597,"Chloealtis abdominalis (SW)","B12011Chloealtis abdominalis",220,373.483849393926
"2641",175,"Chloealtis abdominalis",0,0,1,5,1,0,7,"2011","B1","resurvey","B1_175_2011",5.33830220952634,5.33830220952634,116.815552810233,116.815552810233,3,2,"2591","B12011",10.970625,545.380601427286,399.803176665022,133.44291658597,"Chloealtis abdominalis (SW)","B12011Chloealtis abdominalis",220,373.483849393926
"2642",182,"Chloealtis abdominalis",0,0,0,4,2,0,6,"2011","B1","resurvey","B1_182_2011",5.22460524556344,5.22460524556344,158.772892082634,158.772892082634,2.66666666666667,2,"2591","B12011",10.970625,545.380601427286,399.803176665022,133.44291658597,"Chloealtis abdominalis (SW)","B12011Chloealtis abdominalis",220,373.483849393926
"2643",188,"Chloealtis abdominalis",0,2,5,2,0,0,9,"2011","B1","resurvey","B1_188_2011",5.16030271717786,5.16030271717786,194.641602888801,194.641602888801,4,2,"2591","B12011",10.970625,545.380601427286,399.803176665022,133.44291658597,"Chloealtis abdominalis (SW)","B12011Chloealtis abdominalis",220,373.483849393926
"2644",196,"Chloealtis abdominalis",0,4,0,1,0,0,5,"2011","B1","resurvey","B1_196_2011",5.43798916501598,5.43798916501598,234.048498495837,234.048498495837,4.6,2,"2591","B12011",10.970625,545.380601427286,399.803176665022,133.44291658597,"Chloealtis abdominalis (SW)","B12011Chloealtis abdominalis",220,373.483849393926
"2645",202,"Chloealtis abdominalis",0,7,0,0,0,0,7,"2011","B1","resurvey","B1_202_2011",5.80788477377767,5.80788477377767,270.116436423096,270.116436423096,5,2,"2591","B12011",10.970625,545.380601427286,399.803176665022,133.44291658597,"Chloealtis abdominalis (SW)","B12011Chloealtis abdominalis",220,373.483849393926
"2646",209,"Chloealtis abdominalis",5,7,2,0,0,0,14,"2011","B1","resurvey","B1_209_2011",4.59359864452372,4.59359864452372,314.438747762441,314.438747762441,5.21428571428571,2,"2591","B12011",10.970625,545.380601427286,399.803176665022,133.44291658597,"Chloealtis abdominalis (SW)","B12011Chloealtis abdominalis",220,373.483849393926
"2647",216,"Chloealtis abdominalis",1,2,0,0,0,0,3,"2011","B1","resurvey","B1_216_2011",5.10301962514646,5.10301962514646,358.804342574468,358.804342574468,5.33333333333333,2,"2591","B12011",10.970625,545.380601427286,399.803176665022,133.44291658597,"Chloealtis abdominalis (SW)","B12011Chloealtis abdominalis",220,373.483849393926
"2648",225,"Chloealtis abdominalis",4,1,0,0,0,0,5,"2011","B1","resurvey","B1_225_2011",5.40472338325215,5.40472338325215,417.428159493906,417.428159493906,5.8,2,"2591","B12011",10.970625,545.380601427286,399.803176665022,133.44291658597,"Chloealtis abdominalis (SW)","B12011Chloealtis abdominalis",220,373.483849393926
"2649",230,"Chloealtis abdominalis",4,1,0,0,0,0,5,"2011","B1","resurvey","B1_230_2011",7.37267688040314,7.37267688040314,449.633347534439,449.633347534439,5.8,2,"2591","B12011",10.970625,545.380601427286,399.803176665022,133.44291658597,"Chloealtis abdominalis (SW)","B12011Chloealtis abdominalis",220,373.483849393926
"2650",238,"Chloealtis abdominalis",3,0,0,0,0,0,3,"2011","B1","resurvey","B1_238_2011",8.21,8.21,510.834356729246,510.834356729246,6,2,"2591","B12011",10.970625,545.380601427286,399.803176665022,133.44291658597,"Chloealtis abdominalis (SW)","B12011Chloealtis abdominalis",220,373.483849393926
"2651",244,"Chloealtis abdominalis",3,0,0,0,0,0,3,"2011","B1","resurvey","B1_244_2011",9.605,0,545.380601427286,554.985601427286,6,2,"2591","B12011",10.970625,545.380601427286,399.803176665022,133.44291658597,"Chloealtis abdominalis (SW)","B12011Chloealtis abdominalis",220,373.483849393926
"2652",143,"Chloealtis abdominalis",0,0,0,0,1,2,3,"2012","B1","resurvey","B1_143_2012",5.05827887345893,5.05827887345893,90.2291502942238,90.2291502942238,1.33333333333333,2,"2591","B12012",12.597432073019,663.23803837522,471.127534023384,138.23006454216,"Chloealtis abdominalis (SW)","B12012Chloealtis abdominalis",203,400.229150294224
"2653",151,"Chloealtis abdominalis",0,0,0,1,3,1,5,"2012","B1","resurvey","B1_151_2012",3.58540846988488,3.58540846988488,107.459678394275,107.459678394275,2,2,"2591","B12012",12.597432073019,663.23803837522,471.127534023384,138.23006454216,"Chloealtis abdominalis (SW)","B12012Chloealtis abdominalis",203,400.229150294224
"2654",157,"Chloealtis abdominalis",0,0,0,2,3,0,5,"2012","B1","resurvey","B1_157_2012",5.10195941188122,5.10195941188122,132.138230781654,132.138230781654,2.4,2,"2591","B12012",12.597432073019,663.23803837522,471.127534023384,138.23006454216,"Chloealtis abdominalis (SW)","B12012Chloealtis abdominalis",203,400.229150294224
"2655",163,"Chloealtis abdominalis",0,0,2,4,0,0,6,"2012","B1","resurvey","B1_163_2012",3.26272610813272,3.26272610813272,163.5811726822,163.5811726822,3.33333333333333,2,"2591","B12012",12.597432073019,663.23803837522,471.127534023384,138.23006454216,"Chloealtis abdominalis (SW)","B12012Chloealtis abdominalis",203,400.229150294224
"2656",171,"Chloealtis abdominalis",0,1,3,3,0,0,7,"2012","B1","resurvey","B1_171_2012",9.888908765,9.888908765,212.548478189013,212.548478189013,3.71428571428571,2,"2591","B12012",12.597432073019,663.23803837522,471.127534023384,138.23006454216,"Chloealtis abdominalis (SW)","B12012Chloealtis abdominalis",203,400.229150294224
"2657",179,"Chloealtis abdominalis",0,3,0,0,0,0,3,"2012","B1","resurvey","B1_179_2012",9.360321705,9.360321705,274.939388861932,274.939388861932,5,2,"2591","B12012",12.597432073019,663.23803837522,471.127534023384,138.23006454216,"Chloealtis abdominalis (SW)","B12012Chloealtis abdominalis",203,400.229150294224
"2658",184,"Chloealtis abdominalis",0,2,4,0,0,0,6,"2012","B1","resurvey","B1_184_2012",7.50354182724564,7.50354182724564,314.281442708158,314.281442708158,4.33333333333333,2,"2591","B12012",12.597432073019,663.23803837522,471.127534023384,138.23006454216,"Chloealtis abdominalis (SW)","B12012Chloealtis abdominalis",203,400.229150294224
"2659",190,"Chloealtis abdominalis",0,3,3,1,0,0,7,"2012","B1","resurvey","B1_190_2012",2.34382820350721,2.34382820350721,350.294308667404,350.294308667404,4.28571428571429,2,"2591","B12012",12.597432073019,663.23803837522,471.127534023384,138.23006454216,"Chloealtis abdominalis (SW)","B12012Chloealtis abdominalis",203,400.229150294224
"2660",197,"Chloealtis abdominalis",3,1,1,0,0,0,5,"2012","B1","resurvey","B1_197_2012",6.17925750991939,6.17925750991939,386.489340616421,386.489340616421,5.4,2,"2591","B12012",12.597432073019,663.23803837522,471.127534023384,138.23006454216,"Chloealtis abdominalis (SW)","B12012Chloealtis abdominalis",203,400.229150294224
"2661",207,"Chloealtis abdominalis",8,0,0,0,0,0,8,"2012","B1","resurvey","B1_207_2012",5.75162226557079,5.75162226557079,452.830879711399,452.830879711399,6,2,"2591","B12012",12.597432073019,663.23803837522,471.127534023384,138.23006454216,"Chloealtis abdominalis (SW)","B12012Chloealtis abdominalis",203,400.229150294224
"2662",211,"Chloealtis abdominalis",5,0,0,0,0,0,5,"2012","B1","resurvey","B1_211_2012",6.9988555,6.9988555,476.396329480797,476.396329480797,6,2,"2591","B12012",12.597432073019,663.23803837522,471.127534023384,138.23006454216,"Chloealtis abdominalis (SW)","B12012Chloealtis abdominalis",203,400.229150294224
"2663",218,"Chloealtis abdominalis",3,0,0,0,0,0,3,"2012","B1","resurvey","B1_218_2012",6.72570398591706,6.72570398591706,523.103707269787,523.103707269787,6,2,"2591","B12012",12.597432073019,663.23803837522,471.127534023384,138.23006454216,"Chloealtis abdominalis (SW)","B12012Chloealtis abdominalis",203,400.229150294224
"2664",224,"Chloealtis abdominalis",5,0,0,0,0,0,5,"2012","B1","resurvey","B1_224_2012",6.02423851774137,6.02423851774137,565.100175288596,565.100175288596,6,2,"2591","B12012",12.597432073019,663.23803837522,471.127534023384,138.23006454216,"Chloealtis abdominalis (SW)","B12012Chloealtis abdominalis",203,400.229150294224
"2666",238,"Chloealtis abdominalis",3,0,0,0,0,0,3,"2012","B1","resurvey","B1_238_2012",4.27346946555954,4.27346946555954,630.135026489778,630.135026489778,6,2,"2591","B12012",12.597432073019,663.23803837522,471.127534023384,138.23006454216,"Chloealtis abdominalis (SW)","B12012Chloealtis abdominalis",203,400.229150294224
"2667",174,"Chloealtis abdominalis",0,0,1,1,1,3,6,"2014","B1","resurvey","B1_174_2014",2.34120210883044,2.34120210883044,125.237678914709,125.237678914709,2,2,"2591","B12014",10.2715706521739,492.43447552701,357.526669376315,144.874053977792,"Chloealtis abdominalis (SW)","B12014Chloealtis abdominalis",214,355.237678914709
"2668",178,"Chloealtis abdominalis",0,0,4,2,0,1,7,"2014","B1","resurvey","B1_178_2014",3.20251004791913,3.20251004791913,142.959372503214,142.959372503214,3.28571428571429,2,"2591","B12014",10.2715706521739,492.43447552701,357.526669376315,144.874053977792,"Chloealtis abdominalis (SW)","B12014Chloealtis abdominalis",214,355.237678914709
"2669",184,"Chloealtis abdominalis",0,1,2,1,0,0,4,"2014","B1","resurvey","B1_184_2014",5.99329483083625,5.99329483083625,169.636693459445,169.636693459445,4,2,"2591","B12014",10.2715706521739,492.43447552701,357.526669376315,144.874053977792,"Chloealtis abdominalis (SW)","B12014Chloealtis abdominalis",214,355.237678914709
"2670",190,"Chloealtis abdominalis",0,0,1,3,0,0,4,"2014","B1","resurvey","B1_190_2014",8.291,8.291,213.900945612283,213.900945612283,3.25,2,"2591","B12014",10.2715706521739,492.43447552701,357.526669376315,144.874053977792,"Chloealtis abdominalis (SW)","B12014Chloealtis abdominalis",214,355.237678914709
"2671",199,"Chloealtis abdominalis",0,5,3,1,0,0,9,"2014","B1","resurvey","B1_199_2014",7.0785,7.0785,255.784682139152,255.784682139152,4.44444444444444,2,"2591","B12014",10.2715706521739,492.43447552701,357.526669376315,144.874053977792,"Chloealtis abdominalis (SW)","B12014Chloealtis abdominalis",214,355.237678914709
"2672",206,"Chloealtis abdominalis",1,2,0,0,0,0,3,"2014","B1","resurvey","B1_206_2014",10.4365,10.4365,330.641182139152,330.641182139152,5.33333333333333,2,"2591","B12014",10.2715706521739,492.43447552701,357.526669376315,144.874053977792,"Chloealtis abdominalis (SW)","B12014Chloealtis abdominalis",214,355.237678914709
"2673",213,"Chloealtis abdominalis",8,3,1,0,0,0,12,"2014","B1","resurvey","B1_213_2014",2.44170435051785,2.44170435051785,355.890993674732,355.890993674732,5.58333333333333,2,"2591","B12014",10.2715706521739,492.43447552701,357.526669376315,144.874053977792,"Chloealtis abdominalis (SW)","B12014Chloealtis abdominalis",214,355.237678914709
"2674",220,"Chloealtis abdominalis",7,0,0,0,0,0,7,"2014","B1","resurvey","B1_220_2014",4.23589460032647,4.23589460032647,388.557339009278,388.557339009278,6,2,"2591","B12014",10.2715706521739,492.43447552701,357.526669376315,144.874053977792,"Chloealtis abdominalis (SW)","B12014Chloealtis abdominalis",214,355.237678914709
"2675",227,"Chloealtis abdominalis",6,0,0,0,0,0,6,"2014","B1","resurvey","B1_227_2014",6.823,6.823,425.795063819734,425.795063819734,6,2,"2591","B12014",10.2715706521739,492.43447552701,357.526669376315,144.874053977792,"Chloealtis abdominalis (SW)","B12014Chloealtis abdominalis",214,355.237678914709
"2676",235,"Chloealtis abdominalis",3,0,0,0,0,0,3,"2014","B1","resurvey","B1_235_2014",2.17927787718142,2.17927787718142,471.621450189685,471.621450189685,6,2,"2591","B12014",10.2715706521739,492.43447552701,357.526669376315,144.874053977792,"Chloealtis abdominalis (SW)","B12014Chloealtis abdominalis",214,355.237678914709
"2677",242,"Chloealtis abdominalis",3,0,0,0,0,0,3,"2014","B1","resurvey","B1_242_2014",4.55533966001978,4.55533966001978,490.562475305332,490.562475305332,6,2,"2591","B12014",10.2715706521739,492.43447552701,357.526669376315,144.874053977792,"Chloealtis abdominalis (SW)","B12014Chloealtis abdominalis",214,355.237678914709
"2678",257,"Chloealtis abdominalis",3,0,0,0,0,0,3,"2014","B1","resurvey","B1_257_2014",4.38420712942383,0,492.43447552701,531.646647991633,6,2,"2591","B12014",10.2715706521739,492.43447552701,357.526669376315,144.874053977792,"Chloealtis abdominalis (SW)","B12014Chloealtis abdominalis",214,355.237678914709
"2679",162,"Chloealtis abdominalis",0,0,0,0,6,5,11,"2015","B1","resurvey","B1_162_2015",0.806406658364358,0.806406658364358,71.2642584522477,71.2642584522477,1.54545454545455,2,"2591","B12015",10.9946086956522,524.839971450119,384.546002573052,109.732617822016,"Chloealtis abdominalis (SW)","B12015Chloealtis abdominalis",NA,NA
"2680",169,"Chloealtis abdominalis",0,0,0,6,0,0,6,"2015","B1","resurvey","B1_169_2015",4.4875,4.4875,92.3510930164819,92.3510930164819,3,2,"2591","B12015",10.9946086956522,524.839971450119,384.546002573052,109.732617822016,"Chloealtis abdominalis (SW)","B12015Chloealtis abdominalis",NA,NA
"2685",221,"Chloealtis abdominalis",4,0,0,0,0,0,4,"2015","B1","resurvey","B1_221_2015",6.57634730349804,6.57634730349804,389.245543499819,389.245543499819,6,2,"2591","B12015",10.9946086956522,524.839971450119,384.546002573052,109.732617822016,"Chloealtis abdominalis (SW)","B12015Chloealtis abdominalis",NA,NA
"2686",228,"Chloealtis abdominalis",3,0,0,0,0,0,3,"2015","B1","resurvey","B1_228_2015",6.4965,6.4965,441.508310715182,441.508310715182,6,2,"2591","B12015",10.9946086956522,524.839971450119,384.546002573052,109.732617822016,"Chloealtis abdominalis (SW)","B12015Chloealtis abdominalis",NA,NA
"2690",183,"Camnula pellucida",0,0,0,0,4,0,4,"1959","B1","initial","B1_183_1959",5.60992828567723,5.60992828567723,174.991684238974,174.991684238974,2,1,"2591","B11959",9.34366847826087,467.129090452093,322.724605547163,112.740245906919,"Camnula pellucida (LW)","B11959Camnula pellucida",208,284.991684238974
"2691",195,"Camnula pellucida",0,8,8,2,0,0,18,"1959","B1","initial","B1_195_1959",5.91310803697623,5.91310803697623,234.041113495283,234.041113495283,4.33333333333333,1,"2591","B11959",9.34366847826087,467.129090452093,322.724605547163,112.740245906919,"Camnula pellucida (LW)","B11959Camnula pellucida",208,284.991684238974
"2692",202,"Camnula pellucida",3,7,0,0,0,0,10,"1959","B1","initial","B1_202_1959",5.38902349219361,5.38902349219361,262.008609811262,262.008609811262,5.3,1,"2591","B11959",9.34366847826087,467.129090452093,322.724605547163,112.740245906919,"Camnula pellucida (LW)","B11959Camnula pellucida",208,284.991684238974
"2693",209,"Camnula pellucida",22,16,2,0,0,0,40,"1959","B1","initial","B1_209_1959",9.465,9.465,313.195576623608,313.195576623608,5.5,1,"2591","B11959",9.34366847826087,467.129090452093,322.724605547163,112.740245906919,"Camnula pellucida (LW)","B11959Camnula pellucida",208,284.991684238974
"2694",216,"Camnula pellucida",14,2,0,0,0,0,16,"1959","B1","initial","B1_216_1959",4.09347083612944,4.09347083612944,348.540173630494,348.540173630494,5.875,1,"2591","B11959",9.34366847826087,467.129090452093,322.724605547163,112.740245906919,"Camnula pellucida (LW)","B11959Camnula pellucida",208,284.991684238974
